"","Country1","Country2","Period","pi_value","year"
"191",11,7,1,0.0231653862374547,2000
"192",12,7,1,0.0270190541355498,2000
"193",13,7,1,0.00940440512998303,2000
"194",14,7,1,0.00770878226299483,2000
"195",15,7,1,0.0206985251957202,2000
"196",16,7,1,0.00171635013936933,2000
"197",17,7,1,0.00364139152682528,2000
"198",18,7,1,0.00921311245543248,2000
"199",19,7,1,0.0649618513448645,2000
"200",20,7,1,0.0236002714447448,2000
"201",21,7,1,0.0530164896118435,2000
"202",22,7,1,0.0250302284037396,2000
"203",23,7,1,0.0329008726683326,2000
"204",24,7,1,0.0234165473102588,2000
"205",25,7,1,0.0491506701384617,2000
"206",26,7,1,0.052575200568422,2000
"207",27,7,1,0.0313844873052698,2000
"208",28,7,1,0.0156914524127482,2000
"209",29,7,1,0.00543460309651163,2000
"210",30,7,1,0.0128905335832489,2000
"211",1,8,1,0.00090140838570936,2000
"212",2,8,1,0.00425214880974044,2000
"213",3,8,1,0.0014453986962937,2000
"214",4,8,1,0.000923772005670053,2000
"215",5,8,1,0.00640289351694182,2000
"216",6,8,1,0.000127794563282794,2000
"217",7,8,1,0.00577417226507626,2000
"218",8,8,1,0.828474314492406,2000
"219",9,8,1,0.00354223576590677,2000
"220",10,8,1,0.0150041886186527,2000
"221",11,8,1,0.00647650501436095,2000
"222",12,8,1,0.00779631500875667,2000
"223",13,8,1,0.00221792519330529,2000
"224",14,8,1,0.00093772561603058,2000
"225",15,8,1,0.00672576713910605,2000
"226",16,8,1,0.000285233822502629,2000
"227",17,8,1,0.000364601184810255,2000
"228",18,8,1,0.00320792272639543,2000
"229",19,8,1,0.0103497073732742,2000
"230",20,8,1,0.00401299510693325,2000
"231",21,8,1,0.00425572363903464,2000
"232",22,8,1,0.0508165135743275,2000
"233",23,8,1,0.00241172887915453,2000
"234",24,8,1,0.00163628354751151,2000
"235",25,8,1,0.00369869776175032,2000
"236",26,8,1,0.00609020476652579,2000
"237",27,8,1,0.00432113024385564,2000
"238",28,8,1,0.00340474832753468,2000
"239",29,8,1,0.000649256540301589,2000
"240",30,8,1,0.00565949304919645,2000
"241",1,9,1,0.00140073462254145,2000
"242",2,9,1,0.00275031678930377,2000
"243",3,9,1,0.000640780208679793,2000
"244",4,9,1,0.000477790455776773,2000
"245",5,9,1,0.00289727427953499,2000
"246",6,9,1,0.000629859330791497,2000
"247",7,9,1,0.00261992193012779,2000
"248",8,9,1,0.00214816599619786,2000
"249",9,9,1,0.825574174351868,2000
"250",10,9,1,0.0024576733337185,2000
"251",11,9,1,0.00354895078108475,2000
"252",12,9,1,0.00385831994134529,2000
"253",13,9,1,0.00123046821183008,2000
"254",14,9,1,0.000585304638544165,2000
"255",15,9,1,0.00166911672756393,2000
"256",16,9,1,0.000260634180901259,2000
"257",17,9,1,0.000365175358995851,2000
"258",18,9,1,0.000315947192667554,2000
"259",19,9,1,0.00503118649525224,2000
"260",20,9,1,0.00864682422533222,2000
"261",21,9,1,0.00285655133480165,2000
"262",22,9,1,0.00188097206551991,2000
"263",23,9,1,0.000956461313034357,2000
"264",24,9,1,0.00742571277896609,2000
"265",25,9,1,0.00188957026988356,2000
"266",26,9,1,0.00110099079786582,2000
"267",27,9,1,0.0116002876246125,2000
"268",28,9,1,0.00138069783669237,2000
"269",29,9,1,0.000472484802377315,2000
"270",30,9,1,0.00180605105012576,2000
"271",1,10,1,0.00354537038558675,2000
"272",2,10,1,0.0117898002281639,2000
"273",3,10,1,0.00266374179056955,2000
"274",4,10,1,0.0030154579743144,2000
"275",5,10,1,0.0295762453142514,2000
"276",6,10,1,0.00987865692140477,2000
"277",7,10,1,0.015183037249055,2000
"278",8,10,1,0.0323539123418748,2000
"279",9,10,1,0.00820316622091049,2000
"280",10,10,1,0.80441414851448,2000
"281",11,10,1,0.0165949446060223,2000
"282",12,10,1,0.0148023372850297,2000
"283",13,10,1,0.00226383767457109,2000
"284",14,10,1,0.00580459602851097,2000
"285",15,10,1,0.01565884827859,2000
"286",16,10,1,0.00108151711742747,2000
"287",17,10,1,0.00202321992222222,2000
"288",18,10,1,0.00224525173187326,2000
"289",19,10,1,0.0217888680791804,2000
"290",20,10,1,0.0122725015805372,2000
"291",21,10,1,0.0117631713528755,2000
"292",22,10,1,0.021126705741331,2000
"293",23,10,1,0.0115280390242029,2000
"294",24,10,1,0.00908763215403993,2000
"295",25,10,1,0.00722421681779649,2000
"296",26,10,1,0.0253876965093212,2000
"297",27,10,1,0.0117011900748867,2000
"298",28,10,1,0.00686850498500352,2000
"299",29,10,1,0.00254852241331851,2000
"300",30,10,1,0.0129007586952751,2000
"301",1,11,1,0.0102016067688259,2000
"302",2,11,1,0.00880450709163122,2000
"303",3,11,1,0.00151469798749277,2000
"304",4,11,1,0.00733894852859312,2000
"305",5,11,1,0.0175286866711154,2000
"306",6,11,1,0.00105551967344271,2000
"307",7,11,1,0.0113372517084545,2000
"308",8,11,1,0.0139592604171545,2000
"309",9,11,1,0.0152498287115126,2000
"310",10,11,1,0.017022729325268,2000
"311",11,11,1,0.782125107277674,2000
"312",12,11,1,0.0141188422548322,2000
"313",13,11,1,0.00555954816834721,2000
"314",14,11,1,0.00440463710308118,2000
"315",15,11,1,0.00814101251259695,2000
"316",16,11,1,0.00117344207758024,2000
"317",17,11,1,0.00189366224138373,2000
"318",18,11,1,0.00223898896758327,2000
"319",19,11,1,0.0240602072648111,2000
"320",20,11,1,0.0179650387148382,2000
"321",21,11,1,0.00853015200774653,2000
"322",22,11,1,0.0126070583948541,2000
"323",23,11,1,0.00711109073425005,2000
"324",24,11,1,0.00801701906263484,2000
"325",25,11,1,0.00495868273363404,2000
"326",26,11,1,0.00663080266434313,2000
"327",27,11,1,0.0183574312729887,2000
"328",28,11,1,0.00689958256007323,2000
"329",29,11,1,0.00373581542277698,2000
"330",30,11,1,0.0194624827578138,2000
"331",1,12,1,5.84698131148899e-05,2000
"332",2,12,1,0.000345582199491413,2000
"333",3,12,1,1.41799371080353e-05,2000
"334",4,12,1,6.80606257378339e-05,2000
"335",5,12,1,0.000349195427455572,2000
"336",6,12,1,5.67661703584272e-06,2000
"337",7,12,1,0.000579562643016558,2000
"338",8,12,1,0.000208077095303444,2000
"339",9,12,1,0.000235969383792453,2000
"340",10,12,1,0.000170733585422325,2000
"341",11,12,1,0.000485429195523028,2000
"342",12,12,1,0.769706636829855,2000
"343",13,12,1,2.68582030289762e-05,2000
"344",14,12,1,1.15627092703707e-05,2000
"345",15,12,1,0.000378589969853361,2000
"346",16,12,1,2.43894780405205e-05,2000
"347",17,12,1,2.09330349688131e-05,2000
"348",18,12,1,1.29466913016397e-05,2000
"349",19,12,1,0.000395477157644882,2000
"350",20,12,1,0.000277823248704386,2000
"351",21,12,1,0.000191823904260336,2000
"352",22,12,1,0.000149495921014215,2000
"353",23,12,1,0.00181464072488605,2000
"354",24,12,1,0.000637419583816924,2000
"355",25,12,1,0.000255413396783395,2000
"356",26,12,1,0.000292043332218837,2000
"357",27,12,1,0.000402324848268649,2000
"358",28,12,1,0.000591991243384524,2000
"359",29,12,1,3.90847121804038e-05,2000
"360",30,12,1,0.00174472373156191,2000
"361",1,13,1,0.00506059805547852,2000
"362",2,13,1,0.000445687526406301,2000
"363",3,13,1,0.000353780684926267,2000
"364",4,13,1,0.00126583095071877,2000
"365",5,13,1,0.000551302352023787,2000
"366",6,13,1,0.00137461069507124,2000
"367",7,13,1,0.00133189077692764,2000
"368",8,13,1,0.00104760315017821,2000
